ticker,name,market,region,currency,sector
GE,GE Aerospace,S&P 500,US,USD,Industrials
GEHC,GE HealthCare,S&P 500,US,USD,Health Care
GEN,Gen Digital,S&P 500,US,USD,Information Technology
GEV,GE Vernova,S&P 500,US,USD,Industrials
GILD,Gilead Sciences,S&P 500,US,USD,Health Care
GIS,General Mills,S&P 500,US,USD,Consumer Staples
GL,Globe Life,S&P 500,US,USD,Financials
GLW,Corning Inc.,S&P 500,US,USD,Information Technology
GM,General Motors,S&P 500,US,USD,Consumer Discretionary
GNRC,Generac,S&P 500,US,USD,Industrials
GOOG,Alphabet Inc. (Class C),S&P 500,US,USD,Communication Services
GOOGL,Alphabet Inc. (Class A),S&P 500,US,USD,Communication Services
GPC,Genuine Parts Company,S&P 500,US,USD,Consumer Discretionary
GPN,Global Payments,S&P 500,US,USD,Financials
GRMN,Garmin,S&P 500,US,USD,Consumer Discretionary
GS,Goldman Sachs,S&P 500,US,USD,Financials
GWW,W. W. Grainger,S&P 500,US,USD,Industrials
HAL,Halliburton,S&P 500,US,USD,Energy
HAS,Hasbro,S&P 500,US,USD,Consumer Discretionary
HBAN,Huntington Bancshares,S&P 500,US,USD,Financials
HCA,HCA Healthcare,S&P 500,US,USD,Health Care
HD,Home Depot (The),S&P 500,US,USD,Consumer Discretionary
HIG,Hartford (The),S&P 500,US,USD,Financials
HII,Huntington Ingalls Industries,S&P 500,US,USD,Industrials
HLT,Hilton Worldwide,S&P 500,US,USD,Consumer Discretionary
HON,Honeywell,S&P 500,US,USD,Industrials
HOOD,Robinhood Markets,S&P 500,US,USD,Financials
HPE,Hewlett Packard Enterprise,S&P 500,US,USD,Information Technology
HPQ,HP Inc.,S&P 500,US,USD,Information Technology
HRL,Hormel Foods,S&P 500,US,USD,Consumer Staples
HSIC,Henry Schein,S&P 500,US,USD,Health Care
HST,Host Hotels & Resorts,S&P 500,US,USD,Real Estate
HSY,Hershey Company (The),S&P 500,US,USD,Consumer Staples
HUBB,Hubbell Incorporated,S&P 500,US,USD,Industrials
HUM,Humana,S&P 500,US,USD,Health Care
HWM,Howmet Aerospace,S&P 500,US,USD,Industrials
IBKR,Interactive Brokers,S&P 500,US,USD,Financials
IBM,IBM,S&P 500,US,USD,Information Technology
ICE,Intercontinental Exchange,S&P 500,US,USD,Financials
IDXX,Idexx Laboratories,S&P 500,US,USD,Health Care
IEX,IDEX Corporation,S&P 500,US,USD,Industrials
IFF,International Flavors & Fragrances,S&P 500,US,USD,Materials
INCY,Incyte,S&P 500,US,USD,Health Care
INTC,Intel,S&P 500,US,USD,Information Technology
INTU,Intuit,S&P 500,US,USD,Information Technology
INVH,Invitation Homes,S&P 500,US,USD,Real Estate
IP,International Paper,S&P 500,US,USD,Materials
IQV,IQVIA,S&P 500,US,USD,Health Care
IR,Ingersoll Rand,S&P 500,US,USD,Industrials
IRM,Iron Mountain,S&P 500,US,USD,Real Estate
ISRG,Intuitive Surgical,S&P 500,US,USD,Health Care
IT,Gartner,S&P 500,US,USD,Information Technology
ITW,Illinois Tool Works,S&P 500,US,USD,Industrials
IVZ,Invesco,S&P 500,US,USD,Financials
J,Jacobs Solutions,S&P 500,US,USD,Industrials
JBHT,J.B. Hunt,S&P 500,US,USD,Industrials
JBL,Jabil,S&P 500,US,USD,Information Technology
JCI,Johnson Controls,S&P 500,US,USD,Industrials
JKHY,Jack Henry & Associates,S&P 500,US,USD,Financials
JNJ,Johnson & Johnson,S&P 500,US,USD,Health Care
JPM,JPMorgan Chase,S&P 500,US,USD,Financials
KDP,Keurig Dr Pepper,S&P 500,US,USD,Consumer Staples
KEY,KeyCorp,S&P 500,US,USD,Financials
KEYS,Keysight Technologies,S&P 500,US,USD,Information Technology
KHC,Kraft Heinz,S&P 500,US,USD,Consumer Staples
KIM,Kimco Realty,S&P 500,US,USD,Real Estate
KKR,KKR & Co.,S&P 500,US,USD,Financials
KLAC,KLA Corporation,S&P 500,US,USD,Information Technology
KMB,Kimberly-Clark,S&P 500,US,USD,Consumer Staples
KMI,Kinder Morgan,S&P 500,US,USD,Energy
KO,Coca-Cola Company (The),S&P 500,US,USD,Consumer Staples
KR,Kroger,S&P 500,US,USD,Consumer Staples
KVUE,Kenvue,S&P 500,US,USD,Consumer Staples
L,Loews Corporation,S&P 500,US,USD,Financials
LDOS,Leidos,S&P 500,US,USD,Industrials
LEN,Lennar,S&P 500,US,USD,Consumer Discretionary
LH,Labcorp,S&P 500,US,USD,Health Care
LHX,L3Harris,S&P 500,US,USD,Industrials
LII,Lennox International,S&P 500,US,USD,Industrials
LIN,Linde plc,S&P 500,US,USD,Materials
LITE,Lumentum,S&P 500,US,USD,Information Technology
LLY,Lilly (Eli),S&P 500,US,USD,Health Care
LMT,Lockheed Martin,S&P 500,US,USD,Industrials
LNT,Alliant Energy,S&P 500,US,USD,Utilities
LOW,Lowe's,S&P 500,US,USD,Consumer Discretionary
LRCX,Lam Research,S&P 500,US,USD,Information Technology
LULU,Lululemon Athletica,S&P 500,US,USD,Consumer Discretionary
LUV,Southwest Airlines,S&P 500,US,USD,Industrials
LVS,Las Vegas Sands,S&P 500,US,USD,Consumer Discretionary
LYB,LyondellBasell,S&P 500,US,USD,Materials
LYV,Live Nation Entertainment,S&P 500,US,USD,Communication Services
MA,Mastercard,S&P 500,US,USD,Financials
MAA,Mid-America Apartment Communities,S&P 500,US,USD,Real Estate
MAR,Marriott International,S&P 500,US,USD,Consumer Discretionary
MAS,Masco,S&P 500,US,USD,Industrials
MCD,McDonald's,S&P 500,US,USD,Consumer Discretionary
MCHP,Microchip Technology,S&P 500,US,USD,Information Technology
MCK,McKesson Corporation,S&P 500,US,USD,Health Care
MCO,Moody's Corporation,S&P 500,US,USD,Financials
MDLZ,Mondelez International,S&P 500,US,USD,Consumer Staples
MDT,Medtronic,S&P 500,US,USD,Health Care
MET,MetLife,S&P 500,US,USD,Financials
META,Meta Platforms,S&P 500,US,USD,Communication Services
MGM,MGM Resorts,S&P 500,US,USD,Consumer Discretionary
MKC,McCormick & Company,S&P 500,US,USD,Consumer Staples
MLM,Martin Marietta Materials,S&P 500,US,USD,Materials
MMM,3M,S&P 500,US,USD,Industrials
MNST,Monster Beverage,S&P 500,US,USD,Consumer Staples
MO,Altria,S&P 500,US,USD,Consumer Staples
MOS,Mosaic Company (The),S&P 500,US,USD,Materials
MPC,Marathon Petroleum,S&P 500,US,USD,Energy
MPWR,Monolithic Power Systems,S&P 500,US,USD,Information Technology
MRK,Merck & Co.,S&P 500,US,USD,Health Care
MRNA,Moderna,S&P 500,US,USD,Health Care
MRSH,Marsh McLennan,S&P 500,US,USD,Financials
MS,Morgan Stanley,S&P 500,US,USD,Financials
MSCI,MSCI Inc.,S&P 500,US,USD,Financials
MSFT,Microsoft,S&P 500,US,USD,Information Technology
MSI,Motorola Solutions,S&P 500,US,USD,Information Technology
MTB,M&T Bank,S&P 500,US,USD,Financials
MTD,Mettler Toledo,S&P 500,US,USD,Health Care
MU,Micron Technology,S&P 500,US,USD,Information Technology
NCLH,Norwegian Cruise Line Holdings,S&P 500,US,USD,Consumer Discretionary
NDAQ,"Nasdaq, Inc.",S&P 500,US,USD,Financials
NDSN,Nordson Corporation,S&P 500,US,USD,Industrials
NEE,NextEra Energy,S&P 500,US,USD,Utilities
NEM,Newmont,S&P 500,US,USD,Materials
NFLX,Netflix,S&P 500,US,USD,Communication Services
NI,NiSource,S&P 500,US,USD,Utilities
NKE,"Nike, Inc.",S&P 500,US,USD,Consumer Discretionary
NOC,Northrop Grumman,S&P 500,US,USD,Industrials
NOW,ServiceNow,S&P 500,US,USD,Information Technology
NRG,NRG Energy,S&P 500,US,USD,Utilities
NSC,Norfolk Southern,S&P 500,US,USD,Industrials
NTAP,NetApp,S&P 500,US,USD,Information Technology
NTRS,Northern Trust,S&P 500,US,USD,Financials
NUE,Nucor,S&P 500,US,USD,Materials
NVDA,Nvidia,S&P 500,US,USD,Information Technology
NVR,"NVR, Inc.",S&P 500,US,USD,Consumer Discretionary
NWS,News Corp (Class B),S&P 500,US,USD,Communication Services
NWSA,News Corp (Class A),S&P 500,US,USD,Communication Services
NXPI,NXP Semiconductors,S&P 500,US,USD,Information Technology
O,Realty Income,S&P 500,US,USD,Real Estate
ODFL,Old Dominion,S&P 500,US,USD,Industrials
OKE,Oneok,S&P 500,US,USD,Energy
